,Ecology,Shopping,Data,Python,Job,News,Bank,Invoice
0,Environmental,shopping,data,Jython,Employment,NEws,bank,Invoicing
1,Ecology_Ecology,Holiday_Shopping,Termed_Massively_Parallel,Perl_Python,job,Yachting_Universe_Yachting,Savings_Bank,invoice
2,Nasdaq_ECOL,Sabre_Attribute_Based,Data_System_IPEDS,IronPython,NHBC_Pride,Discount_Chandlery_Login,http://investor.bankofamerica.com,invoices
3,Environment,Shopper,Temperature_Maps,scripting_languages,Workforce,By_Amy_Tortolani,Bankâ_€_™,invoicing
4,NASDAQ_ECOL,Discount_Codes,Analytics_Solution,PHP_Perl,Job_Seekers,Jason_Whitely,Bancorporation,Invoices
5,Larry_Altose_spokesman,MSN_Shopping,Database,Java_Python,Job_Seeker,By_Reggie_Aqui,Bankof,MAS##
6,Ted_Sturdevant,Comparison_Shopping,Partition_Master,PHP,Manager_STAFF_NURSE,Jeff_McShan,Bankcorp,Electronic_Invoice
7,Joye_Redfield_Wilder,Cheap_Chic,QuickStudy,Python_Ruby,Engineer_RAILWAYPEOPLE.COM,Shern_Min_Chow,Ceylon_BoC,Timesheet
8,Natural_Resources,RETAIL_DETAILS,Geospatial_Data,Visual_Basic,Job_Hunting,By_Karla_Barguiarena,Ozarks_NASDAQ_OZRK,Accounts_Receivables
9,Larry_Altose,DealTaker.com_coupon,Tweet_Sentiments_web,Perl,Career,Rucks_Russell,Bancshares,Invoice_Management
